LSite,Date,Stream,12-Digit HUC,14-Digit HUC,LATITUDE_MEASURE,LONGITUDE_MEASURE,TAXA_COUNT
WPA060-0044,11-Oct-06,Patoka River,051202090604,05120209060080,38.38345608,-87.26894068,24
WPA060-0046,01-Aug-06,Rock Creek,051202090602,05120209060020,38.31869352,-87.08908269,36
WPA010-0045,31-Jul-06,Youngs Creek,051202090102,05120209010050,38.4701086,-86.49832408,32
WPA070-0019,01-Aug-06,South Fork Patoka River,051202090701,05120209070020,38.28973276,-87.22452731,21
WPA050-0016,26-Jul-06,Flat Creek,051202090501,05120209050010,38.46801108,-87.15075501,70
WPA030-0017,01-Aug-06,Hall Creek,051202090201,05120209030010,38.36451286,-86.77667781,30
WPA030-0018,08-Aug-06,Hall Creek,051202090202,05120209030060,38.35344964,-86.89993772,36
WPA060-0048,01-Aug-06,Beadens Creek,051202090601,05120209060030,38.31851049,-87.12777244,59
WPA050-0017,26-Jul-06,Flat Creek,051202090501,05120209050010,38.45994463,-87.13203985,36
WPA020-0058,07-Sep-06,Patoka River,051202090402,05120209020040,38.4722046,-86.77734737,20
WWU120-0079,24-Jul-06,Little Eagle Creek,051202011104,05120201120070,39.99879047,-86.23968241,44
WPA020-0051,07-Aug-06,Polson Creek,051202090403,05120209020050,38.43846651,-86.80668874,29
WWL020-0058,24-Jul-06,Fish Creek,051202020209,05120202020140,39.17572187,-86.90259331,39
WPA040-0044,31-Jul-06,Green Creek,051202090301,05120209040020,38.24345436,-86.86946302,55
WPA040-0049,06-Sep-06,Patoka River,051202090406,05120209040070,38.3354826,-86.9901383,27
WWL050-0036,02-Oct-06,West Fork White River,051202020506,05120202050090,38.9213891,-87.08305013,26
WEU060-0009,07-Aug-07,East Fork White River,051202060603,05120206060050,38.79801056,-86.16328081,15
WED100-0011,07-Aug-07,Driftwood River,051202040903,05120204100040,39.32208203,-85.9814833,65
WEM110-0014,05-Sep-07,Muscatatuck River,051202070905,05120207110070,38.77199776,-86.15852448,23
WEL140-0005,12-Sep-07,East Fork White River,051202081406,05120208140020,38.61644576,-86.88260864,27
WEM090-0014,10-Sep-07,Muscatatuck River,051202070902,05120207090060,38.75278001,-85.92863956,21
WEL010-0010,07-Aug-07,East Fork White River,051202080104,05120208010030,38.76376297,-86.25318445,38
WEL100-0015,06-Aug-07,East Fork White River,051202081006,05120208100030,38.74281,-86.730048,38
WEL170-0021,06-Aug-07,Sugar Creek,051202081504,05120208170040,38.52217625,-86.97444882,46
WEL050-0019,01-Aug-07,North Fork Salt Creek,051202080602,05120208050020,39.24982344,-86.13606987,23
WEL160-0025,30-Jul-07,Lost River,051202081307,05120208160120,38.5849311,-86.74221456,54
WED010-0047,24-Jul-07,Big Blue River,051202040102,05120204010020,39.9847715,-85.35127738,28
WEU010-0039,30-Jul-07,Clifty Creek,051202060103,05120206010050,39.3869064,-85.55987034,36
WEF040-0013,25-Jul-07,Mud Creek,051202050301,05120205040050,39.62970873,-85.54871112,31
WEM010-0016,24-Jul-07,Middle Fork Creek,051202070103,05120207010040,38.84326084,-85.48528404,32
WEU050-0008,31-Jul-07,East Fork White Creek,051202060401,05120206050040,39.10265909,-85.95886706,21
WEL160-0027,31-Jul-07,Lost River,051202081306,05120208160100,38.5971791,-86.67562054,41
WEL110-0016,01-Aug-07,Indian Creek,051202080903,05120208110040,38.933431,-86.689089,66
WED030-0028,30-Jul-07,Little Blue River,051202040205,05120204030060,39.53976495,-85.72693629,43
WEL150-0010,31-Jul-07,Lost River,051202081205,05120208150070,38.62938465,-86.42034098,64
WEU010-0040,01-Aug-07,Clifty Creek,051202060107,05120206010160,39.20858111,-85.87337078,45
WEM090-0012,25-Jul-07,Smart Ditch,051202070902,05120207090060,38.76863872,-85.94701772,62
WED050-0016,30-Jul-07,Big Blue River,051202040807,05120204050030,39.443892,-85.88859677,33
WEU010-0041,24-Jul-07,Clifty Creek,051202060101,05120206010030,39.49786494,-85.38461152,25
WEL110-0017,01-Aug-07,Indian Creek,051202080906,05120208110070,38.79741974,-86.70419597,57
WEL030-0010,31-Jul-07,Guthrie Creek,051202080203,05120208030030,38.80781472,-86.38770057,37
WEL060-0008,25-Jul-07,South Fork Salt Creek,051202080404,05120208060050,39.02356064,-86.2627895,41
WED080-0019,30-Jul-07,Leather Run,051202040702,05120204080060,39.62359482,-86.01955452,19
WEL160-0028,30-Jul-07,Tributary of Lost River,051202081308,05120208160140,38.59051313,-86.77820607,11
WEF020-0016,25-Jul-07,Ben Davis Creek,051202050401,05120205020040,39.63622914,-85.36149011,25
WEL160-0022,31-Jul-07,Tributary of French Lick Creek,051202081304,05120208160070,38.53493436,-86.58887009,67
WEL040-0010,25-Jul-07,Leatherwood Creek,051202081003,05120208040050,38.85414306,-86.47047228,55
WEM020-0015,24-Jul-07,Graham Creek,051202070204,05120207020070,38.91629314,-85.59884733,59
