ACTIVITY_NO,EVENT_NUM,STATION_NAME,COUNTY_NAME,WATERBODY_NAME,STATION_DESC,COMMON_NAME,FISH_COUNT,TOTAL WEIGHT (grams),MINIMUM LENGTH (millimeters),MAXIMUM LENGTH (millimeters),MUSEUM_FISH_COUNT,DEFORMITY_COUNT,FIN_EROSION_COUNT,LESION_COUNT,TUMOR_COUNT,MULTI_ANOMALY_COUNT,ANCHOR_WORMS_COUNT,LEECHES_COUNT,SWIRLED_SCALES_COUNT,POP_EYE_COUNT,EMACIATED_COUNT,FUNGUS_COUNT,PARASITES_COUNT
AB22143,15T001,OBS130-0002,Washington,South Fork Blue River,West Fredericksburg Road,Striped Shiner,51,214,40,126,,,,,,,,,,,,,
AB22143,15T001,OBS130-0002,Washington,South Fork Blue River,West Fredericksburg Road,White Sucker,1,9,94,94,,,,,,,,,,,,,
AB22143,15T001,OBS130-0002,Washington,South Fork Blue River,West Fredericksburg Road,Yellow Bullhead,1,162,233,233,,,,,,,,,,,,,
AB22154,15T002,OBS-06-0016,Washington,South Fork Blue River,Palmyra Road,Banded Sculpin,11,85,41,109,,,,,,,,,,,,,
AB22154,15T002,OBS-06-0016,Washington,South Fork Blue River,Palmyra Road,Black Redhorse,1,140,268,268,,,,,,,,,,,,,
AB22154,15T002,OBS-06-0016,Washington,South Fork Blue River,Palmyra Road,Blackstripe Topminnow,1,2,65,65,,,,,,,,,,,,,
AB22154,15T002,OBS-06-0016,Washington,South Fork Blue River,Palmyra Road,Central Stoneroller,1,4,72,72,,,,,,,,,,,,,
AB22154,15T002,OBS-06-0016,Washington,South Fork Blue River,Palmyra Road,Fantail Darter,5,6,22,60,,,,,,,,,,,,,
AB22154,15T002,OBS-06-0016,Washington,South Fork Blue River,Palmyra Road,Green Sunfish,7,62,61,101,,,,,,,,,,,,,
AB22154,15T002,OBS-06-0016,Washington,South Fork Blue River,Palmyra Road,Greenside Darter,3,7,50,75,,,,,,,,,,,,,
AB22154,15T002,OBS-06-0016,Washington,South Fork Blue River,Palmyra Road,Johnny Darter,1,1,51,51,,,,,,,,,,,,,
AB22154,15T002,OBS-06-0016,Washington,South Fork Blue River,Palmyra Road,Longear Sunfish,98,915,51,140,,,,,,,,,,,,,
AB22154,15T002,OBS-06-0016,Washington,South Fork Blue River,Palmyra Road,Northern Hog Sucker,2,226,204,231,,,,,,,,,,,,,
AB22154,15T002,OBS-06-0016,Washington,South Fork Blue River,Palmyra Road,Rainbow Darter,1,4,65,65,,,,,,,,,,,,,
AB22154,15T002,OBS-06-0016,Washington,South Fork Blue River,Palmyra Road,Rock Bass,12,741,71,205,,,,,,,,,,,,,
AB22154,15T002,OBS-06-0016,Washington,South Fork Blue River,Palmyra Road,Silver Shiner,6,5,46,51,,,,,,,,,,,,,
AB22154,15T002,OBS-06-0016,Washington,South Fork Blue River,Palmyra Road,Striped Shiner,7,32,73,88,,,,,,,,,,,,,
AB22154,15T002,OBS-06-0016,Washington,South Fork Blue River,Palmyra Road,White Sucker,2,39,124,139,,,,,,,,,,,,,
AB22154,15T002,OBS-06-0016,Washington,South Fork Blue River,Palmyra Road,Yellow Bullhead,2,148,128,198,,,,,,,,,,,,,
AB22157,15T003,OBS-06-0015,Washington,Licking Creek,Palmyra Rd,Banded Sculpin,41,521,45,115,,,,,,,,,,,,,
AB22157,15T003,OBS-06-0015,Washington,Licking Creek,Palmyra Rd,Bluntnose Minnow,4,15,61,85,,,,,,,,,,,,,
AB22157,15T003,OBS-06-0015,Washington,Licking Creek,Palmyra Rd,Central Stoneroller,8,17,34,90,,,,,,,,,,,,,
AB22157,15T003,OBS-06-0015,Washington,Licking Creek,Palmyra Rd,Creek Chub,35,159,36,98,,,,,,,,,,,,,
AB22157,15T003,OBS-06-0015,Washington,Licking Creek,Palmyra Rd,Fantail Darter,27,46,30,69,,,,,,,,,,,,,
AB22157,15T003,OBS-06-0015,Washington,Licking Creek,Palmyra Rd,Green Sunfish,1,3,55,55,,,,,,,,,,,,,
AB22157,15T003,OBS-06-0015,Washington,Licking Creek,Palmyra Rd,Greenside Darter,4,25,75,92,,,,,,,,,,,,,
AB22157,15T003,OBS-06-0015,Washington,Licking Creek,Palmyra Rd,Orangethroat Darter,2,1,25,45,,,,,,,,,,,,,
AB22157,15T003,OBS-06-0015,Washington,Licking Creek,Palmyra Rd,Rainbow Darter,3,10,56,73,,,,,,,,,,,,,
AB22157,15T003,OBS-06-0015,Washington,Licking Creek,Palmyra Rd,Rosyface Shiner,1,1,29,29,,,,,,,,,,,,,
AB22157,15T003,OBS-06-0015,Washington,Licking Creek,Palmyra Rd,Smallmouth Bass,1,2,60,60,,,,,,,,,,,,,
AB22157,15T003,OBS-06-0015,Washington,Licking Creek,Palmyra Rd,Striped Shiner,10,46,34,99,,,,,,,,,,,,,
AB22157,15T003,OBS-06-0015,Washington,Licking Creek,Palmyra Rd,Western Mosquitofish,2,1,35,43,,,,,,,,,,,,,
AB22157,15T003,OBS-06-0015,Washington,Licking Creek,Palmyra Rd,White Crappie,1,1,43,43,,,,,,,,,,,,,
AB22158,15T004,OBS-06-0021,Washington,Bear Creek,Wetzel Rd,Banded Darter,5,1,26,30,,,,,,,,,,,,,
AB22158,15T004,OBS-06-0021,Washington,Bear Creek,Wetzel Rd,Banded Sculpin,1,48,140,140,,,,,,,,,,,,,
AB22158,15T004,OBS-06-0021,Washington,Bear Creek,Wetzel Rd,Bluegill,2,3,49,51,,,,,,,,,,,,,
AB22158,15T004,OBS-06-0021,Washington,Bear Creek,Wetzel Rd,Bluntnose Minnow,10,134,45,94,,,,,,,,,,,,,
AB22158,15T004,OBS-06-0021,Washington,Bear Creek,Wetzel Rd,Central Stoneroller,1,1,28,28,,,,,,,,,,,,,
AB22158,15T004,OBS-06-0021,Washington,Bear Creek,Wetzel Rd,Creek Chub,130,248,20,119,,,,,,,,,,,,,
AB22158,15T004,OBS-06-0021,Washington,Bear Creek,Wetzel Rd,Fantail Darter,17,37,25,65,,,,,,,,,,,,,
AB22158,15T004,OBS-06-0021,Washington,Bear Creek,Wetzel Rd,Green Sunfish,7,32,33,76,,,,,,,,,,,,,
AB22158,15T004,OBS-06-0021,Washington,Bear Creek,Wetzel Rd,Johnny Darter,1,1,27,27,,,,,,,,,,,,,
AB22158,15T004,OBS-06-0021,Washington,Bear Creek,Wetzel Rd,Rainbow Darter,3,4,49,57,,,,,,,,,,,,,
AB22158,15T004,OBS-06-0021,Washington,Bear Creek,Wetzel Rd,Southern Redbelly Dace,1,1,53,53,,,,,,,,,,,,,
AB22158,15T004,OBS-06-0021,Washington,Bear Creek,Wetzel Rd,Spotted Bass,2,3,44,52,,,,,,,,,,,,,
AB22158,15T004,OBS-06-0021,Washington,Bear Creek,Wetzel Rd,Striped Shiner,4,14,67,74,,,,,,,,,,,,,
AB22158,15T004,OBS-06-0021,Washington,Bear Creek,Wetzel Rd,White Sucker,7,10,35,42,,,,,,,,,,,,,
AB22159,15T005,OBS-06-0014,Washington,Bear Creek,Martinsburg Fire Rd,Banded Sculpin,12,124,52,105,,,,,,,,,,,,,
AB22159,15T005,OBS-06-0014,Washington,Bear Creek,Martinsburg Fire Rd,Blackstripe Topminnow,1,2,65,65,,,,,,,,,,,,,
AB22159,15T005,OBS-06-0014,Washington,Bear Creek,Martinsburg Fire Rd,Bluegill,10,29,42,68,,,,,,,,,,,,,
AB22159,15T005,OBS-06-0014,Washington,Bear Creek,Martinsburg Fire Rd,Bluntnose Minnow,21,35,37,89,,,,,,,,,,,,,
AB22159,15T005,OBS-06-0014,Washington,Bear Creek,Martinsburg Fire Rd,Central Stoneroller,17,50,35,116,,,,,,,,,,,,,
AB22159,15T005,OBS-06-0014,Washington,Bear Creek,Martinsburg Fire Rd,Creek Chub,55,272,23,167,,,,,,,,,,,,,
AB22159,15T005,OBS-06-0014,Washington,Bear Creek,Martinsburg Fire Rd,Fantail Darter,9,21,37,64,,,,,,,,,,,,,
AB22159,15T005,OBS-06-0014,Washington,Bear Creek,Martinsburg Fire Rd,Green Sunfish,13,95,32,85,,,,,,,,,,,,,
AB22159,15T005,OBS-06-0014,Washington,Bear Creek,Martinsburg Fire Rd,Johnny Darter,5,4,45,53,,,,,,,,,,,,,
AB22159,15T005,OBS-06-0014,Washington,Bear Creek,Martinsburg Fire Rd,Longear Sunfish,6,203,75,125,,,,,,,,,,,,,
AB22159,15T005,OBS-06-0014,Washington,Bear Creek,Martinsburg Fire Rd,Northern Hog Sucker,4,26,34,140,,,,,,,,,,,,,
AB22159,15T005,OBS-06-0014,Washington,Bear Creek,Martinsburg Fire Rd,Rainbow Darter,10,7,43,64,,,,,,,,,,,,,
AB22159,15T005,OBS-06-0014,Washington,Bear Creek,Martinsburg Fire Rd,Rock Bass,6,48,70,82,,,,,,,,,,,,,
AB22159,15T005,OBS-06-0014,Washington,Bear Creek,Martinsburg Fire Rd,Scarlet Shiner,1,5,72,72,,,,,,,,,,,,,
AB22159,15T005,OBS-06-0014,Washington,Bear Creek,Martinsburg Fire Rd,Smallmouth Bass,2,78,48,140,,,,,,,,,,,,,
AB22159,15T005,OBS-06-0014,Washington,Bear Creek,Martinsburg Fire Rd,Spotted Bass,2,2,48,49,,,,,,,,,,,,,
AB22159,15T005,OBS-06-0014,Washington,Bear Creek,Martinsburg Fire Rd,Striped Shiner,13,137,67,107,,,,,,,,,,,,,
AB23267,15T005.5,OBS-06-0014,Washington,Bear Creek,Martinsburg Fire Rd,Banded Sculpin,23,194,55,116,1,,,,,,,,,,,,
AB23267,15T005.5,OBS-06-0014,Washington,Bear Creek,Martinsburg Fire Rd,Bluegill,4,15,51,72,,,,,,,,,,,,,
AB23267,15T005.5,OBS-06-0014,Washington,Bear Creek,Martinsburg Fire Rd,Bluntnose Minnow,38,77,50,90,1,,,,,,,,,,,,
AB23267,15T005.5,OBS-06-0014,Washington,Bear Creek,Martinsburg Fire Rd,Central Stoneroller,67,328,45,116,1,,,,,,,,,,,,
AB23267,15T005.5,OBS-06-0014,Washington,Bear Creek,Martinsburg Fire Rd,Creek Chub,82,110,39,141,1,,,,,,,,,,,,
AB23267,15T005.5,OBS-06-0014,Washington,Bear Creek,Martinsburg Fire Rd,Fantail Darter,8,7,23,64,1,,,,,,,,,,,,
AB23267,15T005.5,OBS-06-0014,Washington,Bear Creek,Martinsburg Fire Rd,Green Sunfish,7,116,60,130,,,,,,,,,,,,,
AB23267,15T005.5,OBS-06-0014,Washington,Bear Creek,Martinsburg Fire Rd,Greenside Darter,5,27,60,106,1,,,,,,,,,,,,
AB23267,15T005.5,OBS-06-0014,Washington,Bear Creek,Martinsburg Fire Rd,Johnny Darter,4,3,41,46,1,,,,,,,,,,,,
AB23267,15T005.5,OBS-06-0014,Washington,Bear Creek,Martinsburg Fire Rd,Largemouth Bass,1,4,69,69,1,,,,,,,,,,,,
AB23267,15T005.5,OBS-06-0014,Washington,Bear Creek,Martinsburg Fire Rd,Longear Sunfish,5,110,90,121,,,,,,,,,,,,,
AB23267,15T005.5,OBS-06-0014,Washington,Bear Creek,Martinsburg Fire Rd,Northern Hog Sucker,13,40,61,76,1,,,,,,,,,,,,
AB23267,15T005.5,OBS-06-0014,Washington,Bear Creek,Martinsburg Fire Rd,Orangethroat Darter,2,2,52,56,1,,,,,,,,,,,,
AB23267,15T005.5,OBS-06-0014,Washington,Bear Creek,Martinsburg Fire Rd,Rainbow Darter,13,9,34,59,2,,,,,,,,,,,,
AB23267,15T005.5,OBS-06-0014,Washington,Bear Creek,Martinsburg Fire Rd,Rock Bass,4,68,87,105,,,,,,,,,,,,,
AB23267,15T005.5,OBS-06-0014,Washington,Bear Creek,Martinsburg Fire Rd,Scarlet Shiner,5,15,70,85,1,,,,,,,,,,,,
AB23267,15T005.5,OBS-06-0014,Washington,Bear Creek,Martinsburg Fire Rd,Silverjaw Minnow,9,17,54,75,2,,,,,,,,,,,,
AB23267,15T005.5,OBS-06-0014,Washington,Bear Creek,Martinsburg Fire Rd,Smallmouth Bass,3,26,82,100,3,,,,,,,,,,,,
AB23267,15T005.5,OBS-06-0014,Washington,Bear Creek,Martinsburg Fire Rd,Striped Shiner,110,235,31,127,2,,,,,,,,,,,,
AB23267,15T005.5,OBS-06-0014,Washington,Bear Creek,Martinsburg Fire Rd,White Sucker,4,29,80,88,1,,,,,,,,,,,,
AB22160,15T006,OBS-06-0013,Washington,Bear Creek,State Road 135,Banded Sculpin,34,160,33,104,,,,,,,,,,,,,
AB22160,15T006,OBS-06-0013,Washington,Bear Creek,State Road 135,Black Redhorse,1,260,300,300,,,,,,,,,,,,,
AB22160,15T006,OBS-06-0013,Washington,Bear Creek,State Road 135,Blackstripe Topminnow,1,1,46,46,,,,,,,,,,,,,
AB22160,15T006,OBS-06-0013,Washington,Bear Creek,State Road 135,Bluegill,8,60,57,109,,,,,,,,,,,,,
AB22160,15T006,OBS-06-0013,Washington,Bear Creek,State Road 135,Bluntnose Minnow,3,60,63,82,,,,,,,,,,,,,
AB22160,15T006,OBS-06-0013,Washington,Bear Creek,State Road 135,Central Stoneroller,23,82,24,120,,,,,,,,,,,,,
AB22160,15T006,OBS-06-0013,Washington,Bear Creek,State Road 135,Creek Chub,113,160,30,164,,,,,,,,,,,,,
AB22160,15T006,OBS-06-0013,Washington,Bear Creek,State Road 135,Fantail Darter,11,50,27,60,,,,,,,,,,,,,
AB22160,15T006,OBS-06-0013,Washington,Bear Creek,State Road 135,Green Sunfish,3,22,82,85,,,,,,,,,,,,,
AB22160,15T006,OBS-06-0013,Washington,Bear Creek,State Road 135,Greenside Darter,7,50,38,95,,,,,,,,,,,,,
AB22160,15T006,OBS-06-0013,Washington,Bear Creek,State Road 135,Longear Sunfish,17,40,89,130,,,,,,,,,,,,,
AB22160,15T006,OBS-06-0013,Washington,Bear Creek,State Road 135,Northern Hog Sucker,1,2,45,45,,,,,,,,,,,,,
AB22160,15T006,OBS-06-0013,Washington,Bear Creek,State Road 135,Rainbow Darter,33,40,23,62,,,,,,,,,,,,,
AB22160,15T006,OBS-06-0013,Washington,Bear Creek,State Road 135,Rock Bass,10,320,59,152,,,,,,,,,,,,,
AB22160,15T006,OBS-06-0013,Washington,Bear Creek,State Road 135,Rosyface Shiner,4,4,28,28,,,,,,,,,,,,,
AB22160,15T006,OBS-06-0013,Washington,Bear Creek,State Road 135,Scarlet Shiner,12,70,55,87,,,,,,,,,,,,,
AB22160,15T006,OBS-06-0013,Washington,Bear Creek,State Road 135,Smallmouth Bass,4,151,55,153,,,,,,,,,,,,,
AB22160,15T006,OBS-06-0013,Washington,Bear Creek,State Road 135,Spotted Bass,1,1,51,51,,,,,,,,,,,,,
AB22160,15T006,OBS-06-0013,Washington,Bear Creek,State Road 135,Striped Shiner,28,310,22,150,,,,,,,,,,,,,
AB22161,15T007,OBS-06-0007,Washington,Dutch Creek,Dutch Creek Rd,Banded Darter,2,1,26,30,,,,,,,,,,,,,
AB22161,15T007,OBS-06-0007,Washington,Dutch Creek,Dutch Creek Rd,Central Stoneroller,38,175,18,117,,,,,,,,,,,,,
AB22161,15T007,OBS-06-0007,Washington,Dutch Creek,Dutch Creek Rd,Creek Chub,37,80,20,76,,,,,,,,,,,,,
AB22161,15T007,OBS-06-0007,Washington,Dutch Creek,Dutch Creek Rd,Fantail Darter,16,9,25,66,,,,,,,,,,,,,
AB22161,15T007,OBS-06-0007,Washington,Dutch Creek,Dutch Creek Rd,Green Sunfish,1,2,56,56,,,,,,,,,,,,,
AB22161,15T007,OBS-06-0007,Washington,Dutch Creek,Dutch Creek Rd,Greenside Darter,1,3,64,64,,,,,,,,,,,,,
AB22161,15T007,OBS-06-0007,Washington,Dutch Creek,Dutch Creek Rd,Johnny Darter,1,1,32,32,,,,,,,,,,,,,
AB22161,15T007,OBS-06-0007,Washington,Dutch Creek,Dutch Creek Rd,Southern Redbelly Dace,8,10,48,65,,,,,,,,,,,,,
AB22162,15T008,OBS-06-0008,Washington,South Fork Blue River,SR 135,Banded Darter,1,1,58,58,,,,,,,,,,,,,
AB22162,15T008,OBS-06-0008,Washington,South Fork Blue River,SR 135,Banded Sculpin,1,2,57,57,,,,,,,,,,,,,
AB22162,15T008,OBS-06-0008,Washington,South Fork Blue River,SR 135,Bigeye Shiner,10,18,54,68,2,,,,,,,,,,,,
AB22162,15T008,OBS-06-0008,Washington,South Fork Blue River,SR 135,Black Redhorse,2,163,195,222,,,,,,,,,,,,,
AB22162,15T008,OBS-06-0008,Washington,South Fork Blue River,SR 135,Bluegill,1,3,64,64,,,,,,,,,,,,,
AB22162,15T008,OBS-06-0008,Washington,South Fork Blue River,SR 135,Bluntnose Minnow,13,30,48,67,,,,,,,,,,,,,
AB22162,15T008,OBS-06-0008,Washington,South Fork Blue River,SR 135,Central Stoneroller,7,56,86,112,,,,,,,,,,,,,
AB22162,15T008,OBS-06-0008,Washington,South Fork Blue River,SR 135,Creek Chub,5,48,55,117,,,,,,,,,,,,,
AB22162,15T008,OBS-06-0008,Washington,South Fork Blue River,SR 135,Fantail Darter,2,3,52,58,,,,,,,,,,,,,
AB22162,15T008,OBS-06-0008,Washington,South Fork Blue River,SR 135,Green Sunfish,19,388,59,147,,,,,,,,,,,,,
AB22162,15T008,OBS-06-0008,Washington,South Fork Blue River,SR 135,Greenside Darter,2,5,74,80,,,,,,,,,,,,,
AB22162,15T008,OBS-06-0008,Washington,South Fork Blue River,SR 135,Johnny Darter,1,1,40,40,,,,,,,,,,,,,
AB22162,15T008,OBS-06-0008,Washington,South Fork Blue River,SR 135,Logperch,1,24,146,146,,,,,,,,,,,,,
AB22162,15T008,OBS-06-0008,Washington,South Fork Blue River,SR 135,Longear Sunfish,110,788,48,134,,,,,,,,,,,,,
AB22162,15T008,OBS-06-0008,Washington,South Fork Blue River,SR 135,Northern Hog Sucker,13,413,97,268,,,,,,,,,,,,,
AB22162,15T008,OBS-06-0008,Washington,South Fork Blue River,SR 135,Rainbow Darter,5,5,37,61,,,,,,,,,,,,,
AB22162,15T008,OBS-06-0008,Washington,South Fork Blue River,SR 135,Rock Bass,5,393,100,200,,,,,,,,,,,,,
AB22162,15T008,OBS-06-0008,Washington,South Fork Blue River,SR 135,Smallmouth Bass,5,222,70,252,,,,,,,,,,,,,
AB22162,15T008,OBS-06-0008,Washington,South Fork Blue River,SR 135,Spotfin Shiner,2,6,79,81,,,,,,,,,,,,,
AB22162,15T008,OBS-06-0008,Washington,South Fork Blue River,SR 135,Spotted Sucker,1,34,159,159,,,,,,,,,,,,,
AB22162,15T008,OBS-06-0008,Washington,South Fork Blue River,SR 135,Striped Shiner,10,46,34,103,,,,,,,,,,,,,
AB22162,15T008,OBS-06-0008,Washington,South Fork Blue River,SR 135,Yellow Bullhead,6,501,128,232,,,,,,,,,,,,,
AB22163,15T009,OBS-06-0020,Washington,South Fork Blue River,Big Springs Rd,Banded Darter,8,8,36,54,,,,,,,,,,,,,
AB22163,15T009,OBS-06-0020,Washington,South Fork Blue River,Big Springs Rd,Banded Sculpin,33,101,36,98,,,,,,,,,,,,,
AB22163,15T009,OBS-06-0020,Washington,South Fork Blue River,Big Springs Rd,Bigeye Shiner,1,2,55,55,,,,,,,,,,,,,
AB22163,15T009,OBS-06-0020,Washington,South Fork Blue River,Big Springs Rd,Bluegill,1,3,55,55,,,,,,,,,,,,,
AB22163,15T009,OBS-06-0020,Washington,South Fork Blue River,Big Springs Rd,Bluntnose Minnow,19,60,50,88,,,,,,,,,,,,,
AB22163,15T009,OBS-06-0020,Washington,South Fork Blue River,Big Springs Rd,Central Stoneroller,3,26,88,114,,,,,,,,,,,,,
AB22163,15T009,OBS-06-0020,Washington,South Fork Blue River,Big Springs Rd,Creek Chub,5,56,51,142,,,,,,,,,,,,,
AB22163,15T009,OBS-06-0020,Washington,South Fork Blue River,Big Springs Rd,Fantail Darter,3,1,30,46,,,,,,,,,,,,,
AB22163,15T009,OBS-06-0020,Washington,South Fork Blue River,Big Springs Rd,Golden Redhorse,1,4,73,73,,,,,,,,,,,,,
AB22163,15T009,OBS-06-0020,Washington,South Fork Blue River,Big Springs Rd,Green Sunfish,22,206,52,130,,,,,,,,,,,,,
AB22163,15T009,OBS-06-0020,Washington,South Fork Blue River,Big Springs Rd,Greenside Darter,2,2,44,64,,,,,,,,,,,,,
AB22163,15T009,OBS-06-0020,Washington,South Fork Blue River,Big Springs Rd,Longear Sunfish,91,1608,35,127,,,,,,,,,,,,,
AB22163,15T009,OBS-06-0020,Washington,South Fork Blue River,Big Springs Rd,Northern Hog Sucker,30,498,55,226,,,,,,,,,,,,,
AB22163,15T009,OBS-06-0020,Washington,South Fork Blue River,Big Springs Rd,Rainbow Darter,10,14,31,58,,,,,,,,,,,,,
AB22163,15T009,OBS-06-0020,Washington,South Fork Blue River,Big Springs Rd,Rock Bass,12,309,42,180,,,,,,,,,,,,,
AB22163,15T009,OBS-06-0020,Washington,South Fork Blue River,Big Springs Rd,Rosyface Shiner,5,5,49,55,,,,,,,,,,,,,
AB22163,15T009,OBS-06-0020,Washington,South Fork Blue River,Big Springs Rd,Striped Shiner,49,139,33,133,,,,,,,,,,,,,
AB22163,15T009,OBS-06-0020,Washington,South Fork Blue River,Big Springs Rd,Yellow Bullhead,2,33,100,114,,,,,,,,,,,,,
AB22144,15T010,OBS-06-0009,Washington,Punch Run,Shorts Corner Rd,Banded Sculpin,1,11,90,90,,,,,,,,,,,,,
AB22144,15T010,OBS-06-0009,Washington,Punch Run,Shorts Corner Rd,Central Stoneroller,1,4,75,75,,,,,,,,,,,,,
AB22144,15T010,OBS-06-0009,Washington,Punch Run,Shorts Corner Rd,Creek Chub,63,483,27,169,,,,,,,,,,,,,
AB22144,15T010,OBS-06-0009,Washington,Punch Run,Shorts Corner Rd,Fantail Darter,12,14,37,70,,,,,,,,,,,,,
AB22144,15T010,OBS-06-0009,Washington,Punch Run,Shorts Corner Rd,Green Sunfish,2,29,75,91,,,,,,,,,,,,,
AB22144,15T010,OBS-06-0009,Washington,Punch Run,Shorts Corner Rd,Southern Redbelly Dace,2,5,46,71,,,,,,,,,,,,,
AB22144,15T010,OBS-06-0009,Washington,Punch Run,Shorts Corner Rd,Striped Shiner,1,1,45,45,,,,,,,,,,,,,
AB22132,15T011,OBS-06-0004,Washington,South Fork Blue River,Martinsburg Road,Bigeye Shiner,8,19,55,95,,,,,,,,,,,,,
AB22132,15T011,OBS-06-0004,Washington,South Fork Blue River,Martinsburg Road,Black Redhorse,17,547,68,302,,,,,,,,,,,,,
AB22132,15T011,OBS-06-0004,Washington,South Fork Blue River,Martinsburg Road,Blackstripe Topminnow,1,2,65,65,,,,,,,,,,,,,
AB22132,15T011,OBS-06-0004,Washington,South Fork Blue River,Martinsburg Road,Bluegill,43,118,20,91,,,,,,,,,,,,,
AB22132,15T011,OBS-06-0004,Washington,South Fork Blue River,Martinsburg Road,Bluntnose Minnow,66,147,29,85,,,,,,,,,,,,,
AB22132,15T011,OBS-06-0004,Washington,South Fork Blue River,Martinsburg Road,Central Stoneroller,118,760,42,128,,,,,,,,,,,,,
AB22132,15T011,OBS-06-0004,Washington,South Fork Blue River,Martinsburg Road,Creek Chub,7,146,44,194,,,,,,,,,,,,,
AB22132,15T011,OBS-06-0004,Washington,South Fork Blue River,Martinsburg Road,Fantail Darter,23,15,25,61,,,,,,,,,,,,,
AB22132,15T011,OBS-06-0004,Washington,South Fork Blue River,Martinsburg Road,Golden Redhorse,1,98,215,215,,,,,,,,,,,,,
AB22132,15T011,OBS-06-0004,Washington,South Fork Blue River,Martinsburg Road,Green Sunfish,38,326,63,150,,,,,,,,,,,,,
AB22132,15T011,OBS-06-0004,Washington,South Fork Blue River,Martinsburg Road,Greenside Darter,2,10,78,83,,,,,,,,,,,,,
AB22132,15T011,OBS-06-0004,Washington,South Fork Blue River,Martinsburg Road,Johnny Darter,2,1,35,38,,,,,,,,,,,,,
AB22132,15T011,OBS-06-0004,Washington,South Fork Blue River,Martinsburg Road,Largemouth Bass,7,92,78,121,,,,,,,,,,,,,
AB22132,15T011,OBS-06-0004,Washington,South Fork Blue River,Martinsburg Road,Logperch,2,34,126,132,,,,,,,,,,,,,
AB22132,15T011,OBS-06-0004,Washington,South Fork Blue River,Martinsburg Road,Longear Sunfish,78,732,54,142,,,,,,,,,,,,,
AB22132,15T011,OBS-06-0004,Washington,South Fork Blue River,Martinsburg Road,Northern Hog Sucker,15,315,75,202,,,,,,,,,,,,,
AB22132,15T011,OBS-06-0004,Washington,South Fork Blue River,Martinsburg Road,Orangethroat Darter,2,2,32,32,,,,,,,,,,,,,
AB22132,15T011,OBS-06-0004,Washington,South Fork Blue River,Martinsburg Road,Rainbow Darter,2,1,34,35,,,,,,,,,,,,,
AB22132,15T011,OBS-06-0004,Washington,South Fork Blue River,Martinsburg Road,Rock Bass,1,5,63,63,,,,,,,,,,,,,
AB22132,15T011,OBS-06-0004,Washington,South Fork Blue River,Martinsburg Road,Scarlet Shiner,2,6,73,74,,,,,,,,,,,,,
AB22132,15T011,OBS-06-0004,Washington,South Fork Blue River,Martinsburg Road,Silver Shiner,1,3,66,66,,,,,,,,,,,,,
AB22132,15T011,OBS-06-0004,Washington,South Fork Blue River,Martinsburg Road,Spotted Bass,1,7,92,92,,,,,,,,,,,,,
AB22132,15T011,OBS-06-0004,Washington,South Fork Blue River,Martinsburg Road,Striped Shiner,55,88,35,100,,,,,,,,,,,,,
AB22132,15T011,OBS-06-0004,Washington,South Fork Blue River,Martinsburg Road,White Sucker,10,52,84,95,,,,,,,,,,,,,
AB22132,15T011,OBS-06-0004,Washington,South Fork Blue River,Martinsburg Road,Yellow Bullhead,6,267,112,190,,,,,,,,,,,,,
AB22133,15T012,OBS-06-0006,Washington,South Fork Blue River Tributary,Shorts Corner Rd,Bluegill,1,16,95,95,,,,,,,,,,,,,
AB22133,15T012,OBS-06-0006,Washington,South Fork Blue River Tributary,Shorts Corner Rd,Central Stoneroller,62,353,60,109,,,,,,,,,,,,,
AB22133,15T012,OBS-06-0006,Washington,South Fork Blue River Tributary,Shorts Corner Rd,Creek Chub,32,347,30,166,,,,,,,,,,,,,
AB22133,15T012,OBS-06-0006,Washington,South Fork Blue River Tributary,Shorts Corner Rd,Fantail Darter,140,259,42,67,,,,,,,,,,,,,
AB22133,15T012,OBS-06-0006,Washington,South Fork Blue River Tributary,Shorts Corner Rd,Rainbow Darter,11,26,,,,,,,,,,,,,,,
AB22133,15T012,OBS-06-0006,Washington,South Fork Blue River Tributary,Shorts Corner Rd,Striped Shiner,6,86,94,122,,,,,,,,,,,,,
AB22134,15T013,OBS-06-0012,Washington,South Fork Blue River Tributary,Mahuron Rd in New Pekin,Bluegill,2,8,62,71,,,,,,,,,,,,,
AB22134,15T013,OBS-06-0012,Washington,South Fork Blue River Tributary,Mahuron Rd in New Pekin,Bluntnose Minnow,2,5,64,67,,,,,,,,,,,,,
AB22134,15T013,OBS-06-0012,Washington,South Fork Blue River Tributary,Mahuron Rd in New Pekin,Central Stoneroller,7,37,72,87,,,,,,,,,,,,,
AB22134,15T013,OBS-06-0012,Washington,South Fork Blue River Tributary,Mahuron Rd in New Pekin,Creek Chub,42,231,35,127,,,,,,,,,,,,,
AB22134,15T013,OBS-06-0012,Washington,South Fork Blue River Tributary,Mahuron Rd in New Pekin,Fantail Darter,20,34,45,71,,,,,,,,,,,,,
AB22134,15T013,OBS-06-0012,Washington,South Fork Blue River Tributary,Mahuron Rd in New Pekin,Fathead Minnow,1,3,63,63,,,,,1,,,,,,,,
AB22134,15T013,OBS-06-0012,Washington,South Fork Blue River Tributary,Mahuron Rd in New Pekin,Green Sunfish,1,8,83,83,,,,,,,,,,,,,
